topic_rank,topic,similarity,comment
6,DeFi,0.17870360788710715,All depends on how much disposable income you have and need
7,Adoption & Use Case,0.2217053104134667,"How about: Individual takes out cash loan using BTC as collateral, say 13% interest Individual loans cash to business for 20% interest Business pays back individual in cash over time and individual uses that to pay off loan. Individual pockets 7% and keeps bitcoin."
7,Adoption & Use Case,0.19943665897954047,Ownership is ownership. Bitcoin is designed for financial freedom. It is not freedom if it can do what you suggest.
7,Adoption & Use Case,0.18584297888329754,If we buy plastic we can buy Bitcoin!
7,Adoption & Use Case,0.17823474052714322,"Had to check it, but the white paper still says: Bitcoin: A Peer-to-Peer Electronic Cash System And NOT: Bitcoin: A Get Wealty System"
7,Adoption & Use Case,0.17490709539130542,"How exactly would you set the terms of such a loan? ""Take my bitcoin now, turn it to cash if you need to, just pay me back another whole bitcoin in X years"" How many years? What do you think the price of bitcoin will be in that time period? What does the business owner think? Neither of you know, so why would anyone accept a loan with an unspecified interest rate? You could fund a business on maxed out credit cards for a lower interest rate than what bitcoin will likely return It sounds like you and the business owner are the same person, which makes this even more ridiculous but changes nothing as far as what was said above"
8,Regulation & Policy,0.2254184133357233,I think they are just making tweaks to the form for the 2025 tax year. [1099-DA Draft](<URL>
8,Regulation & Policy,0.16369830276981598,Would be mean if he had held that advice in him for eight years to now give it. That house arrest for him.
8,Regulation & Policy,0.15689608856087917,"They will go on insisting they are right while being proven wrong day after day, year after year."
8,Regulation & Policy,0.15476299265658686,You cannot borrow conviction.
8,Regulation & Policy,0.15445850197777336,"Tariffs, Epstein, Ukraine, ICE, the big bullshit bill, undoing click to cancel, etc…"
9,NFT,0.1710416422504333,"I do not even see a new ATH in USD. ATH $111,970, 24h high $111,925. Wake me up when we have real $112k prints, actually do not bother. I will snooze till $121k"
9,NFT,0.1677857155899716,Am I the only one that laughed at ‘Dong’?
9,NFT,0.16706099329205507,"My inner space nerd still wants to shout ""Orange Rocket Bad!"" at this video. I get why bitcoiners would choose SLS due to its orange tank, but good gawd it is an inefficient and expensive monstrosity that is an affront to efficient space launch."
9,NFT,0.15606199397139578,Why are they still so bearish?
9,NFT,0.15293213847358353,That is a lot of dong.
10,Mining,0.17799762143520245,How is this sustainable?
10,Mining,0.16510077087844172,The supply will remain the same at 21 million. The lost coins can go back to the chain so miners can mined them again. This way you also solve the miners problem (sort of) about what is going to happen when there is no more Bitcoin to mine? Who is going to keep the block chain running?
10,Mining,0.15782192053861677,What kind of fish are you farming?
10,Mining,0.1557914008501644,"I Do Not Know where to begin honestly. The numerical number of a currency does not limit its value carrying capacity at all - as long as it is subdivisional enough that it can express the lowest possible value necessary for the market. The absolute integrity of the core protocol creates the trust needed for the market. ""LOST"" Bitcoin ie lost access to the private key controlling Bitcoin wallets is just part of the narrative. ""Reproducing"" Bitcoin would alter a path set in the creation of Bitcoin and would be like alchemy for gold or new production of art from dead painters; horrible for the trust backing the value. Mining is a distribution of the currency set over time in a predictable way. Everyone who have ever mined knows more or less how the mining will work now vs the future from the get to with halvings around every 4 years. Over time transaction cost will take over more of the mining rewards as the supply is made available and one day around 2140 you have what you have in terms of supply. Someone may still recover some lost keys from the early stages and I am sure there will be whole markets for digital archeology sifting through old notes etc for the chance of unlocking ""lost"" Bitcoin. Every lost pair of keys are a gift for everyone else who have bought into the system. It is part of the natural order that over time will help spreading the value more evenly in the system as 10k BTC held in 2011 was peanuts and therefore not held as secure as 1BTC in 2025, much like a Picasso in his 20ies compared to now. Read the Bitcoin Standard."
10,Mining,0.15372170447056524,The power of 0.036 %
11,AI & Blockchain,0.1939385385006721,"You really love making these boring, shitty AI memes"
11,AI & Blockchain,0.1874132832357762,"Not alot of people understand the implications of blockchains on everyday life. AI effects are easy to see, and use daily, but ask someone what a Blockchain does or why it is important, they will not know. Its really the emerging class of nerds that get it. Like microsoft or paypal or amazon back in the day, only with time do people actually realise the full potential. Eventually, the business/technology takes over once traction really starts, its all that is left after a while."
